index,text,response,qwen72b
0,A man is being pulled on a water,,sled by a boat.
1,A huge crowd is in,,the stadium.
2,The man that threw,,the ball was wearing a red jersey.
3,The second man to throw the javelin,,was the one who had practiced the most.
4,The same men run to,,the finish line.
5,"Again, the men run to",,the sound of the alarm.
6,The fourth man looks disappointed,,because he didn't get the job.
7,A man puts a gold medal around the neck,,of the winner.
8,A woman is standing in her,,kitchen.
9,She boils pasta in,,a pot of water.
10,The person in the red and black outfit begins rafting in the,,rapidly flowing river.
11,A girl in a sum suit in thrown from a,,boat into the ocean.
12,A close up of a white fencing,,mask.
13,A young man sits,,"alone on a bench, lost in thought."
14,"A couple is seen with a crowd,",,celebrating a special occasion together.
15,Several different men are seen trying to snow,,several different men are seen trying to snow shovel their driveways.
16,A lady stands in,,"a field of flowers, her dress fluttering in the breeze."
17,The lady brushes,,her hair.
18,Man is standing in a room holding,,a flashlight.
19,We see cheerleaders standing,,"on the sidelines, waving their pom-poms."
20,Four girls are lifted and they hold,,each other's hands.
21,A person's hands are seen playing in dirt,,as they tend to their garden.
22,Several small children drive,,Several small children drive toy cars around the playground.
23,These horses are walking in a grassy area by themselves,,"These horses are walking in a grassy area by themselves, peacefully grazing and moving at their own pace."
24,The camera zooms in to shows the horse' nose and then,,the scene cuts to a close-up of the jockey's focused expression.
25,The players are playing curling,,on the ice.
26,The players pushed the stone and two people are brushing,,the dirt off it.
27,We then watch an older boy and,,a younger girl playing together on the swings.
28,People are working out in a,,gym.
29,Man wearing a red shirt is standing,,next to a blue car.
30,Several older men man runs into frame to check on the gymnast,,Several older men run into frame to check on the gymnast.
31,A man is shown sitting in front of,,a computer.
32,A girl shows how to,,apply makeup.
33,A woman is seen on an,,A woman is seen on an advertisement poster.
34,A woman wearing sweat gear and seen,,running in the park.
35,A man in a red shirt,,walked down the street.
36,A woman stands at the,,"edge of the cliff, looking out over the vast ocean."
37,A man kicks a,,ball.
38,A girl is sitting in a tube surrounded by,,water.
39,Ingredients are shown on,,the package label.
40,He adds pasta to a,,boiling pot of water.
41,He starts cooking in a,,kitchen.
42,The credits of the,,movie rolled as the audience began to leave the theater.
43,The guy pours product in a container and uses a brush,,to paint a fence.
44,Two people are jump roping,,while others watch nearby.
45,The girl does,,not understand the complex math problem.
46,People is playing black,,People are playing black.
47,Then in another pan adding sausage and,,cooking until browned.
48,"With her hands on the bar, the girl",,"swung her legs up and over, landing gracefully on the other side."
49,The lady moves a platform to,,adjust the height of the stage.
50,The girl lifts off the bar and,,swings her legs over to the other side.
51,The girl takes two,,steps forward.
52,"The girl steps forward,",,her heart pounding with anticipation.
53,A person runs and,,jumps over the hurdle.
54,A man is talking to the,,woman.
55,The man is,,tall and wears a blue suit.
56,Several players are on,,the field.
57,A camera pans around a large indoor pool and shows,,"swimmers of all ages enjoying the water, some lounging on the steps, others doing laps, and a few playing water games."
58,"The woman added brown sugar on the butter, then added eggs one by one and",,mixed the ingredients until smooth.
59,"The dried fruit mixture is added in the batter, and",,then the batter is poured into a greased baking pan.
60,A bunch of young children are,,playing in the park.
61,One of the men is holding a phone camera in,,his hand.
62,"After much hesitation, the woman finally",,decided to take the leap.
63,Men travel in a plane and arrives,,at their destination.
64,A snow removal clear the,,path.
65,A video shows how to,,make a paper airplane.
66,"A person folds a blue cloth, wrapping",,it around the delicate item with care.
67,A boy is standing on a stool,,"A boy is standing on a stool, reaching for something high up."
68,Several men are shown bowling,,in a league game.
69,The title shows as a man,,"""Man of the Hour"""
70,There is then a showcase,,of the latest innovations and technologies.
71,This woman is doing a nail tutorial,,on her YouTube channel.
72,A professional swimmer wipes his eyes,,after emerging from the pool.
73,A man and woman are,,A man and woman are walking down the street.
74,Spanish letters are shown,,"A, B, C, D, E, F, G, H, I, J, K, L, M, N, Ñ"
75,A group of people are,,"gathered around a table, laughing and enjoying each other's company."
76,A woman is laughing as she,,spills coffee on her new white shirt.
77,Team usa women are,,currently ranked first in the world in soccer.
78,A news woman is speaking,,into the camera.
79,A person is using a vacuum,,to clean the carpet.
80,A young girl is seen sitting in front of a,,"computer, typing away with focus."
81,Two people are seen standing,,Two people are seen standing together.
82,Athletes throw a javelin,,in track and field events.
83,A group of senior citizens,,gathered in the community center for their weekly meeting.
84,"A woman in blue shirt is chopping the wood, when she chopped the wood in",,"half, she noticed a small animal hiding inside."
85,Various shots of people are shown followed,,by a montage of cityscapes and natural landscapes.
86,A man then speakers to various kids on a court,,A man then speaks to various kids on a court.
87,A group of several teen boys are,,hanging out at the park.
88,A guy wearing a red plaid shirt is showing a tutorial,,on how to build a birdhouse.
89,He then demonstrates how to fertile the trees,,He then demonstrates how to fertilize the trees.
90,We see an,,empty chair.
91,We see see man run with a,,We see a man run with a suitcase.
92,The man knocks the pole down,,with a strong blow from his axe.
93,The man tries a third time,,and finally succeeds.
94,A woman washes a pot with soapy water while standing,,in the kitchen.
95,The woman turns and talks to the camera while washing the pot,,"""The woman turns and talks to the camera while washing the pot, smiling as she demonstrates the proper technique."""
96,A man in red in outside screwing in his,,garden shed.
